recipe_title,description,preparation_time,category,instruction,calories,protein,carbs,fats,"list of ingredients used (ingredient_name, quantity, unit, calories)"
Cheesy Bacon Omelet (Style #1),A classic hearty three-egg omelet loaded with crispy bacon and melted cheddar.,8 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Large egg, Bacon (raw)). Step 3: Cook or assemble for 8 minutes. Step 4: Finish with remaining toppings and serve immediately.",876,45g,119g,22g,(Large egg; 15; grams; 21 kcal) | (Bacon (raw); 150; grams; 626 kcal) | (Cheddar cheese; 30; grams; 121 kcal) | (Butter; 15; grams; 108 kcal)
Classic BLT (Style #2),Crispy smoked bacon slices layered with fresh tomatoes and crisp iceberg lettuce.,13 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Bacon (raw), Tomato). Step 3: Cook or assemble for 13 minutes. Step 4: Finish with remaining toppings and serve immediately.",873,52g,102g,24g,(Bacon (raw); 100; grams; 417 kcal) | (Tomato; 15; grams; 3 kcal) | (Lettuce (iceberg); 30; grams; 4 kcal) | (Mayonnaise; 50; grams; 340 kcal) | (All-purpose flour; 30; grams; 109 kcal)
Classic Pork Chop Dinner (Style #3),"Thick, juicy boneless pork chops pan-seared alongside seasoned roasted russet potatoes.",23 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Pork chop (raw, boneless), Russet potato). Step 3: Cook or assemble for 23 minutes. Step 4: Finish with remaining toppings and serve immediately.",1103,78g,115g,40g,"(Pork chop (raw, boneless); 30; grams; 30 kcal) | (Russet potato; 50; grams; 40 kcal) | (Olive oil; 100; grams; 884 kcal) | (Garlic; 100; grams; 149 kcal)"
Cottage Cheese with Berries (Style #4),High-protein cottage cheese topped with fresh raspberries and a light honey drizzle.,7 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cottage cheese, Raspberries). Step 3: Cook or assemble for 7 minutes. Step 4: Finish with remaining toppings and serve immediately.",477,33g,52g,15g,(Cottage cheese; 150; grams; 147 kcal) | (Raspberries; 50; grams; 26 kcal) | (Honey; 100; grams; 304 kcal)
Vanilla Berry Shortcake (Style #5),"Sweet, tender home-baked shortcake biscuits layered with berries and heavy cream.",25 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Heavy cream). Step 3: Cook or assemble for 25 minutes. Step 4: Finish with remaining toppings and serve immediately.",1320,70g,172g,43g,(All-purpose flour; 150; grams; 546 kcal) | (Heavy cream; 15; grams; 51 kcal) | (Strawberries; 150; grams; 48 kcal) | (Sugar (granulated); 100; grams; 387 kcal) | (Vanilla extract; 100; grams; 288 kcal)
Avocado Toast (Style #6),Creamy smashed avocado over toasted whole wheat or simple bread alternatives.,5 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Avocado, All-purpose flour). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",275,15g,34g,8g,(Avocado; 15; grams; 24 kcal) | (All-purpose flour; 30; grams; 109 kcal) | (Olive oil; 15; grams; 133 kcal) | (Tomato; 50; grams; 9 kcal)
Black Bean and Corn Bowl (Style #7),"A hearty vegetarian fiber bowl featuring black beans, sweet corn, and a bright lime dressing.",16 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Black beans (canned), Corn (kernels)). Step 3: Cook or assemble for 16 minutes. Step 4: Finish with remaining toppings and serve immediately.",565,32g,72g,18g,(Black beans (canned); 30; grams; 27 kcal) | (Corn (kernels); 100; grams; 86 kcal) | (Bell pepper (green); 30; grams; 6 kcal) | (Olive oil; 50; grams; 442 kcal) | (Lime; 15; grams; 4 kcal)
Shrimp Scampi Noodles (Style #8),"Plump, juicy shrimp sauteed in a bright, savory garlic, lemon, and butter sauce over noodles.",17 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Shrimp (raw), Egg noodles (dry)). Step 3: Cook or assemble for 17 minutes. Step 4: Finish with remaining toppings and serve immediately.",693,30g,85g,18g,(Shrimp (raw); 50; grams; 42 kcal) | (Egg noodles (dry); 100; grams; 380 kcal) | (Butter; 15; grams; 108 kcal) | (Garlic; 100; grams; 149 kcal) | (Lemon; 50; grams; 14 kcal)
Tomato and Mozzarella Caprese (Style #9),Fresh sliced tomatoes paired with soft mozzarella cheese and a drizzle of balsamic vinegar.,7 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Tomato, Mozzarella cheese). Step 3: Cook or assemble for 7 minutes. Step 4: Finish with remaining toppings and serve immediately.",598,24g,68g,23g,(Tomato; 15; grams; 3 kcal) | (Mozzarella cheese; 50; grams; 140 kcal) | (Balsamic vinegar; 15; grams; 13 kcal) | (Olive oil; 50; grams; 442 kcal)
Fudgy Cocoa Brownies (Style #10),"Rich, dense, and intensely chocolatey brownies made using dark cocoa powder.",27 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cocoa powder, Sugar (granulated)). Step 3: Cook or assemble for 27 minutes. Step 4: Finish with remaining toppings and serve immediately.",2434,164g,332g,71g,(Cocoa powder; 150; grams; 342 kcal) | (Sugar (granulated); 150; grams; 580 kcal) | (Butter; 150; grams; 1076 kcal) | (All-purpose flour; 100; grams; 364 kcal) | (Large egg; 50; grams; 72 kcal)
